sym,date,open,high,low,close,volume
MSFT,2023.03.06,250.5,254.1,250.06,250.93,24109800
MSFT,2023.03.07,250.37,251.73,247.53,248.27,21473200
MSFT,2023.03.08,248.16,248.65,245.01,247.83,17340200
MSFT,2023.03.09,249.9,253.56,245.76,246.48,26653400
MSFT,2023.03.10,245.27,246.94,241.87,242.84,28333900
MSFT,2023.03.13,241.68,251.94,240.05,248.05,33339700
MSFT,2023.03.14,250.81,255.03,249.94,254.76,33620300
MSFT,2023.03.15,253.97,260.32,253.21,259.3,46028000
MSFT,2023.03.16,259.07,270.16,257.19,269.81,54768800
MSFT,2023.03.17,271.82,276.78,269.93,272.97,69527400
MSFT,2023.03.20,270.57,271.06,263.61,265.93,43466600
MSFT,2023.03.21,268.52,268.64,263.28,267.45,34558700
MSFT,2023.03.22,267.08,274.54,265.88,265.99,34873300
MSFT,2023.03.23,271.51,274.56,268.83,271.24,36610900
MSFT,2023.03.24,270.83,274.14,268.91,274.08,28172000
MSFT,2023.03.27,274.01,274.95,269.15,269.99,26840200
MSFT,2023.03.28,269.41,269.75,265.76,268.86,21878600
MSFT,2023.03.29,272.51,274.64,271.97,274.02,25087000
MSFT,2023.03.30,277.65,277.88,274.97,277.48,25053400
MSFT,2023.03.31,277.17,282.58,276.45,281.63,32766000
MSFT,2023.04.03,279.89,281.6,277.38,280.59,24883300
MSFT,2023.04.04,280.59,283.73,279.06,280.54,25824300
MSFT,2023.04.05,279.24,280.51,276.37,277.76,22064800
MSFT,2023.04.06,276.66,285.32,275.51,284.85,29770300
MSFT,2023.04.10,282.52,282.9,278.12,282.7,23103000
MSFT,2023.04.11,279.14,279.36,275.12,276.29,27276600
MSFT,2023.04.12,278.2,280.37,275.44,276.93,27403400
MSFT,2023.04.13,277.03,283.19,276.62,283.13,24222700
MSFT,2023.04.14,280.36,281.81,277.13,279.52,20987900
MSFT,2023.04.17,283.22,284.85,279.54,282.12,23836200
MSFT,2023.04.18,284.82,285.01,280.37,281.7,20161800
MSFT,2023.04.19,279.37,282.36,277.96,281.78,17150300
MSFT,2023.04.20,278.65,282.34,278.48,279.49,23244400
MSFT,2023.04.21,278.42,279.65,276.51,279.15,21676400
MSFT,2023.04.24,275.56,278.36,272.27,275.25,26611000
MSFT,2023.04.25,273.04,275.09,269.0,269.05,45772200
MSFT,2023.04.26,289.84,292.64,285.96,288.54,64599200
MSFT,2023.04.27,289.12,298.14,288.42,297.78,46462600
MSFT,2023.04.28,296.98,301.78,296.29,300.15,36469600
MSFT,2023.05.01,299.87,301.46,298.09,298.49,21294100
MSFT,2023.05.02,300.64,302.03,296.88,298.34,26404400
MSFT,2023.05.03,299.53,301.47,297.06,297.36,22360800
MSFT,2023.05.04,299.16,300.64,296.38,298.34,22519900
MSFT,2023.05.05,298.65,304.75,297.23,303.46,28197100
MSFT,2023.05.08,302.96,303.02,299.01,301.51,21318600
MSFT,2023.05.09,300.87,302.87,299.22,299.9,21340800
MSFT,2023.05.10,301.48,305.76,300.55,305.08,30078000
MSFT,2023.05.11,302.93,303.92,299.17,302.94,31680200
MSFT,2023.05.12,303.37,303.46,299.51,301.82,19774700
MSFT,2023.05.15,301.95,302.73,300.47,302.3,16336500
MSFT,2023.05.16,302.66,306.45,302.66,304.53,26730300
MSFT,2023.05.17,305.73,307.83,304.21,307.41,24315000
MSFT,2023.05.18,307.93,312.34,307.13,311.83,27276000
MSFT,2023.05.19,310.09,312.06,309.73,311.66,27546700
MSFT,2023.05.22,311.91,315.82,311.33,314.44,24115700
MSFT,2023.05.23,313.31,315.94,308.63,308.64,30797200
MSFT,2023.05.24,308.12,309.85,306.05,307.26,23384900
MSFT,2023.05.25,316.45,320.04,313.28,319.08,43301700
MSFT,2023.05.26,317.22,326.4,317.08,325.9,36630600
MSFT,2023.05.30,328.19,328.69,323.58,324.26,29503100
MSFT,2023.05.31,325.31,328.89,320.46,321.49,45950600
MSFT,2023.06.01,319.09,326.53,317.9,325.6,26773900
MSFT,2023.06.02,327.23,330.41,325.57,328.36,25873800
MSFT,2023.06.05,328.18,331.45,327.63,328.89,21307100
MSFT,2023.06.06,328.29,328.33,325.19,326.67,20396200
MSFT,2023.06.07,324.69,327.47,315.73,316.59,40717100
MSFT,2023.06.08,317.14,319.78,316.56,318.43,23277700
MSFT,2023.06.09,318.17,323.06,317.6,319.93,22529000
MSFT,2023.06.12,321.68,325.13,318.33,324.88,24260300
MSFT,2023.06.13,327.45,329.9,323.45,327.27,22951300
MSFT,2023.06.14,327.32,331.92,325.82,330.26,26003800
MSFT,2023.06.15,330.39,342.49,330.12,340.79,38899100
MSFT,2023.06.16,343.94,344.09,334.77,335.14,46552000
MSFT,2023.06.20,332.18,334.9,328.81,330.95,26375400
MSFT,2023.06.21,329.31,330.64,325.1,326.56,25117800
MSFT,2023.06.22,327.1,332.98,326.34,332.58,23556800
MSFT,2023.06.23,327.34,330.86,326.45,327.99,23146900
MSFT,2023.06.26,326.71,329.05,321.59,321.7,21520600
MSFT,2023.06.27,324.89,329.09,322.39,327.54,24354100
MSFT,2023.06.28,327.63,330.88,326.8,328.8,20259500
MSFT,2023.06.29,327.68,329.05,325.64,328.01,16997000
MSFT,2023.06.30,330.66,335.53,330.12,333.39,26832800
MSFT,2023.07.03,332.07,333.74,329.5,330.89,12508700
MSFT,2023.07.05,328.05,334.48,327.7,331.05,18172400
MSFT,2023.07.06,330.22,335.79,328.45,334.1,28161200
MSFT,2023.07.07,332.19,334.61,329.92,330.14,21214800
MSFT,2023.07.10,327.57,328.19,320.71,324.86,32791400
MSFT,2023.07.11,324.11,325.87,320.13,325.49,26698200
MSFT,2023.07.12,329.53,334.48,328.62,330.12,29995300
MSFT,2023.07.13,332.43,336.52,331.9,335.46,20567200
MSFT,2023.07.14,340.29,344.05,337.08,337.99,28352700
MSFT,2023.07.17,338.42,339.7,335.01,338.47,20363900
MSFT,2023.07.18,338.57,359.08,334.98,351.94,64738600
MSFT,2023.07.19,354.15,354.85,345.04,347.62,39732900
MSFT,2023.07.20,346.15,350.45,338.12,339.59,33778400
MSFT,2023.07.21,341.82,342.94,332.69,336.55,69405400
MSFT,2023.07.24,338.59,339.64,335.12,337.86,26678100
MSFT,2023.07.25,339.82,344.5,337.82,343.61,41637700
MSFT,2023.07.26,334.27,337.43,326.12,330.68,58383700
MSFT,2023.07.27,333.33,334.16,322.14,323.78,39635300
MSFT,2023.07.28,326.66,332.87,326.17,331.26,28484900
MSFT,2023.07.31,329.85,330.61,326.36,328.87,25446000
MSFT,2023.08.01,328.15,331.43,326.69,329.28,18311900
MSFT,2023.08.02,326.62,326.62,319.51,320.62,27761300
MSFT,2023.08.03,319.15,322.95,319.11,319.8,18253700
MSFT,2023.08.04,324.91,328.1,320.37,320.9,23741500
MSFT,2023.08.07,321.47,324.16,320.64,323.18,17741500
MSFT,2023.08.08,320.09,321.85,316.22,319.2,22327600
MSFT,2023.08.09,319.61,320.24,314.31,315.46,22373300
MSFT,2023.08.10,319.17,321.37,314.44,316.15,20113700
